CODE LAT LON
BIKF 63.985 -22.605556
EBAW 51.189444 4.460278
EBBR 50.901389 4.484444
EBLG 50.636389 5.442778
EBOS 51.198889 2.862222
EDDB 52.362222 13.500556
EDDF 50.033333 8.570556
EDDH 53.630278 9.988333
EDDK 50.865833 7.142778
EDDL 51.280833 6.757222
EDDM 48.353889 11.786111
EDDN 49.498611 11.078056
EDDP 51.423889 12.236389
EDDS 48.69 9.221944
EDDT 52.559722 13.287778
EDDV 52.460278 9.683611
EETN 59.413333 24.8325
EFHK 60.317222 24.963333
EHAM 52.308056 4.764167
EHEH 51.45 5.374444
EHRD 51.956944 4.437222
EKBI 55.740278 9.151667
EKCH 55.618056 12.656111
ELLX 49.623333 6.204444
ENBR 60.293611 5.218056
ENGM 60.202778 11.083889
EPKK 50.077778 19.784722
EPKT 50.474167 19.08
EPWA 52.165833 20.967222
ESGG 57.66 12.291111
ESKN 58.788611 16.903611
ESSA 59.651944 17.918611
EVRA 56.923611 23.971111
EYVI 54.636944 25.287778
LCLK 34.878889 33.630278
LEAL 38.282222 -0.558056
LEAM 36.843889 -2.37
LEAS 43.563611 -6.034722
LEBB 43.301111 -2.910556
LEBL 41.296944 2.078333
LEBZ 38.891389 -6.821389
LECO 43.301944 -8.377222
LEGE 41.900833 2.760556
LEGR 37.188611 -3.777222
LEIB 38.872778 1.373056
LEJR 36.744722 -6.06
LELN 42.588611 -5.656111
LEMD 40.472222 -3.560833
LEMG 36.675 -4.499167
LEMH 39.8625 4.218611
LEPA 39.551667 2.738889
LESO 43.356389 -1.790556
LEST 42.896389 -8.415278
LEVC 39.489444 -0.481667
LEVD 41.706111 -4.851944
LEVX 42.229167 -8.6275
LEXJ 43.426944 -3.82
LEZL 37.418056 -5.898889
LFBD 44.828611 -0.715278
LFBT 43.185556 -0.002778
LFCK 43.555 2.290556
LFLL 45.725556 5.081111
LFMD 43.546389 6.954167
LFML 43.436667 5.215
LFMN 43.665278 7.215
LFOB 49.454444 2.112778
LFPG 49.009722 2.547778
LFPO 48.723333 2.379444
LFQQ 50.563333 3.086944
LFRN 48.071944 -1.732222
LFRS 47.156944 -1.607778
LFSB 47.59 7.529167
LFST 48.541944 7.634444
LGAV 37.936667 23.944444
LGIR 35.339722 25.180278
LGKR 39.601944 19.912222
LGMK 37.437222 25.347222
LGSR 36.399167 25.479167
LGTS 40.519722 22.970833
LHBP 47.439444 19.261944
LIBD 41.138056 16.765
LICJ 38.181944 13.099444
LIEE 39.247222 9.056111
LIEO 40.898611 9.517778
LIMC 45.63 8.723056
LIME 45.668889 9.700278
LIMF 45.2025 7.649444
LIML 45.449444 9.278333
LIPE 44.530833 11.296944
LIPH 45.650833 12.197778
LIPX 45.396389 10.887778
LIPZ 45.505278 12.351944
LIRF 41.800278 12.238889
LIRN 40.884444 14.290833
LIRP 43.682778 10.395556
LIRQ 43.808611 11.202778
LKPR 50.100833 14.26
LMML 35.8575 14.4775
LOWW 48.110278 16.569722
LPPR 41.235556 -8.678056
LPPT 38.774167 -9.134167
LSGG 46.238333 6.109444
LSZG 47.181389 7.416389
LSZH 47.458056 8.548056
